anyo,consejeria,medio,tipo,importe
2017,Educación,Expansión,Otros Medios,2494.55
2017,Educación,ICAL,Agencia,159999.96
2017,Educación,La Gaceta de Salamanca,Prensa,15538.98
2017,Educación,Onda Cero,Radio,19999.98
2017,Educación,SER,Radio,19999.68
2014,Agricultura y Ganadería,20 Minutos,Medios Digitales,9680
2017,Empleo,ABC CyL,Prensa,36614.73
2014,Agricultura y Ganadería,AgroDigital,Medios Digitales,8421.6
2017,Empleo,Antonio Carrasco López (Quiosco),Otros Medios,1314.3
2014,Agricultura y Ganadería,AgroNewsCyL,Medios Digitales,6000
2017,Empleo,César Fernández López (Quiosco),Otros Medios,440.6
2014,Agricultura y Ganadería,Asoprovac,Medios Digitales,43500
2017,Empleo,CL Comunicación,Agencia,19349.99
2014,Agricultura y Ganadería,Comtogetherss SL,Medios Digitales,12999.998
2017,Empleo,COPE,Radio,28749.6
2014,Agricultura y Ganadería,COPE,Radio,151379.99
2017,Empleo,Diario de León,Prensa,42913.86
2014,Agricultura y Ganadería,Diario de León,Prensa,54999.97
2017,Empleo,Diario Palentino,Prensa,35328.04
2014,Agricultura y Ganadería,El Adelantado de Segovia,Prensa,9999.99
2017,Empleo,El Adelantado de Segovia,Prensa,20121.85
2014,Agricultura y Ganadería,El Confidencial,Medios Digitales,66500
2017,Empleo,El Correo de Burgos,Prensa,12209.75
2014,Agricultura y Ganadería,El Correo de Burgos,Prensa,26000
2017,Empleo,El Día de Valladolid,Prensa,3484.8
2014,Agricultura y Ganadería,El Norte de Castilla,Prensa,200499.75
2017,Empleo,El Diario de Soria,Otros Medios,4573.8
2014,Agricultura y Ganadería,Empresa Agraria Digital,Medios Digitales,726
2017,Empleo,El Mundo de CyL,Prensa,38055.11
2014,Agricultura y Ganadería,La Nueva Crónica de León,Prensa,8000
2017,Empleo,Entorno de Publicidad SLU,Otros Medios,5581.75
2014,Agricultura y Ganadería,La Razón CyL,Prensa,33999.99
2017,Empleo,Grupo Estudios Económicos SA (Cinco Días),Otros Medios,246.4
2014,Agricultura y Ganadería,Onda Cero,Radio,191113.94
2017,Empleo,Kiosco y Más,Otros Medios,3432.95
2014,Agricultura y Ganadería,Promecal Digitales,Medios Digitales,21750.0041
2017,Empleo,La Razón CyL,Prensa,21122.58
2014,Agricultura y Ganadería,Radio Intereconomía,Otros Medios,2500
2017,Empleo,Metáfora de Comunicación SL,Otros Medios,11979
2014,Agricultura y Ganadería,Radio Televisión Castilla y León,Otros Medios,43500
2017,Empleo,Onda Cero,Radio,28435
2014,Agricultura y Ganadería,Revista Viajar,Otros Medios,75020
2017,Familia e Igualdad de Oportunidades,ABC CyL,Prensa,32390.86
2014,Agricultura y Ganadería,Sector Ejecutivo,Otros Medios,3025
2017,Familia e Igualdad de Oportunidades,Bayard Revistas,Otros Medios,4999.98
2014,Agricultura y Ganadería,Telemadrid,Otros Medios,21749.75
2017,Familia e Igualdad de Oportunidades,Diario Palentino,Prensa,38739.98
2014,Cultura y Turismo,Antena3,Otros Medios,87512.04
2017,Familia e Igualdad de Oportunidades,Diario Soria / El Heraldo,Prensa,20999.96
2014,Cultura y Turismo,Castilla y León ES Radio,Radio,37000
2017,Familia e Igualdad de Oportunidades,EFE,Agencia,30998.89
2014,Cultura y Turismo,El Adelantado de Segovia,Prensa,8000
