anyo,consejeria,medio,tipo,importe
2018,Presidencia,20 Minutos,Medios Digitales,37153.06
2015,Economía y Hacienda,Gente,Otros Medios,14554.36
2018,Presidencia,ABC CyL,Prensa,68775.95
2015,Economía y Hacienda,La Nueva Crónica de León,Prensa,20936.51
2018,Presidencia,Ávila Red,Medios Digitales,10575.4
2015,Economía y Hacienda,La Razón CyL,Prensa,63302.57
2018,Presidencia,BierzoNoticias,Medios Digitales,4639.6
2015,Economía y Hacienda,Onda Cero,Radio,53633
2018,Presidencia,BurgosNoticias,Medios Digitales,54699.97
2015,Economía y Hacienda,Opinión de Zamora,Prensa,36075.33
2018,Presidencia,Castilla y León ES Radio,Radio,12000
